,cor_name,rpt_year,rpt_month,rcpNo,dcmNo,eleId,offset,length,dtd,tocNo
0,AK홀딩스,2004,6,20040813000633,907800,5099,536378,420827,dart2.dtd,20
1,BYC,2004,6,20040813001246,908984,2566,267715,576947,dart2.dtd,20
2,CJ,2004,6,20040813001521,909547,10311,1132938,977225,dart2.dtd,20
3,CJ CGV,2004,6,20040913000118,921780,3800,402024,385223,dart2.dtd,13
4,CJ대한통운,2004,6,20040813000114,906783,5363,603696,679809,dart2.dtd,11
5,CJ씨푸드,2004,6,20040813000786,908094,4022,425937,454879,dart2.dtd,11
6,CS홀딩스,2004,6,20040813000396,907334,3787,408062,153316,dart2.dtd,20
7,DB,2004,6,20040813000101,906758,4808,527434,569725,dart2.dtd,20
8,DB금융투자,2004,9,20041112000741,945392,2813,297097,1344528,dart2.dtd,16
9,DB손해보험,2004,9,20041115000798,947023,2877,302995,1388275,dart2.dtd,16
10,DB하이텍,2004,6,20040813000574,907684,5352,590349,839005,dart2.dtd,20
11,DL,2004,6,20040813001021,908551,8130,927523,1304425,dart2.dtd,20
12,DL건설,2004,6,20040813000540,907615,4346,468521,523135,dart2.dtd,20
13,DN오토모티브,2004,6,20040813001283,909050,3221,341299,102053,dart2.dtd,20
14,DRB동일,2004,6,20040813000735,908000,5383,574642,623815,dart2.dtd,20
15,DSR제강,2004,6,20040813000124,906800,2981,301746,296325,dart2.dtd,20
16,E1,2004,6,20040813001204,908902,3801,399661,237203,dart2.dtd,19
17,F&F 홀딩스,2004,6,20040813001406,909316,4195,452642,576317,dart2.dtd,20
18,GS건설,2004,6,20040813000592,907723,8122,906242,575183,dart2.dtd,20
19,GS글로벌,2004,6,20040813001497,909503,5724,659217,529316,dart2.dtd,21
20,GS리테일,2004,6,20040813001740,909970,4501,491222,193974,dart2.dtd,19
21,HDC,2004,6,20040813000709,907945,6028,660563,878804,dart2.dtd,20
22,HL D&I,2004,6,20040813000897,908312,3498,394795,470251,dart2.dtd,20
23,HLB글로벌,2004,6,20040813000182,906912,3629,397893,353063,dart2.dtd,20
24,HL홀딩스,2004,6,20040813001185,908865,4553,493378,1023310,dart2.dtd,20
25,HMM,2004,6,20040813001707,909912,4289,455878,708669,dart2.dtd,20
26,JW중외제약,2004,6,20040813000465,907474,4024,442053,423511,dart2.dtd,20
27,KC그린홀딩스,2004,6,20040814000234,910641,2590,260399,635684,dart2.dtd,20
28,KG스틸,2004,6,20040813001068,908640,4511,480552,824595,dart2.dtd,20
29,KG케미칼,2004,6,20040813000387,907315,4876,562928,517969,dart2.dtd,20
30,KH 필룩스,2004,6,20040813000391,907322,4319,452144,361414,dart2.dtd,20
31,KISCO홀딩스,2004,6,20040813000342,907221,4136,451212,660474,dart2.dtd,20
32,KPX케미칼,2004,6,20040813001526,909559,2062,212510,534917,dart2.dtd,20
33,KR모터스,2004,6,20040814000264,910699,2733,302545,442485,dart2.dtd,20
34,KTcs,2004,6,20040812000046,905850,2991,319290,250853,dart2.dtd,20
35,KTis,2004,6,20040813001679,909864,2281,248782,160799,dart2.dtd,20
36,LG,2004,6,20040813000248,907030,5952,703499,212692,dart2.dtd,11
37,LG디스플레이,2004,6,20040813001496,909499,2894,327054,255940,dart2.dtd,20
38,LG생활건강,2004,6,20040812000221,906192,3086,327749,483179,dart2.dtd,20
39,LG유플러스,2004,6,20040813001080,908664,3844,428145,491233,dart2.dtd,20
40,LG전자,2003,6,20040826000143,915388,7041,775090,376873,dart2.dtd,20
41,LG전자,2004,6,20040820000032,913088,7503,820644,564883,dart2.dtd,22
42,LG화학,2004,6,20040813000549,907633,4752,533827,714758,dart2.dtd,20
43,LS,2004,6,20040813001492,909490,5573,608093,922427,dart2.dtd,20
44,LS네트웍스,2004,6,20040814000014,910221,2524,294291,351786,dart2.dtd,19
45,LX인터내셔널,2004,6,20040813000881,908280,4575,505926,834971,dart2.dtd,19
46,MH에탄올,2004,6,20040812000207,906161,2755,293344,508144,dart2.dtd,20
47,NAVER,2004,6,20040813000851,908221,2134,218574,324473,dart2.dtd,20
48,NH투자증권,2004,9,20041112000268,944695,4089,461705,989065,dart2.dtd,16
49,NICE,2004,6,20040813000498,907533,2677,293714,375440,dart2.dtd,20
50,NI스틸,2004,6,20040814000003,910205,5332,563221,337531,dart2.dtd,20
51,OCI,2004,6,20040813001344,909179,6601,704654,628223,dart2.dtd,20
52,POSCO홀딩스,2004,6,20040813000597,907733,4661,511106,511699,dart2.dtd,20
53,S-Oil,2004,6,20040812000278,906310,7003,742374,460856,dart2.dtd,20
54,SBS,2004,6,20040813000197,906940,1948,217148,693891,dart2.dtd,20
55,SGC에너지,2004,6,20040813000298,907138,4988,524582,516410,dart2.dtd,20
56,SG글로벌,2004,6,20040814000411,910987,2658,296928,645228,dart2.dtd,22
57,SG세계물산,2004,6,20040813000739,908009,3118,326385,979367,dart2.dtd,20
58,SHD,2004,6,20040813000512,907562,4450,454320,332527,dart2.dtd,20
59,SH에너지화학,2003,12,20040214000060,746779,4699,493929,455149,dart2.dtd,20
60,SIMPAC,2004,6,20040813001123,908746,3570,376032,552773,dart2.dtd,20
61,SK,2004,6,20040816000115,911300,3862,404733,479461,dart2.dtd,21
62,SKC,2004,6,20040813001357,909204,7520,817330,941376,dart2.dtd,20
63,SK가스,2004,6,20040813001309,909101,3244,343886,324922,dart2.dtd,19
64,SK네트웍스,2004,6,20040814000253,910676,6009,644368,610701,dart2.dtd,19
65,SK디스커버리,2004,6,20040813001192,908879,7833,837112,1052171,dart2.dtd,20
66,SK렌터카,2004,6,20040817000039,911634,4022,428819,443944,dart2.dtd,13
67,SK증권,2004,9,20041115000692,946882,6288,648593,613615,dart2.dtd,16
68,SK텔레콤,2004,6,20040813001772,910024,5519,614186,1395651,dart2.dtd,11
69,SK하이닉스,2004,6,20040813001394,909286,6300,690695,920595,dart2.dtd,20
70,SNT모티브,2004,6,20040812000323,906424,4227,443346,293536,dart2.dtd,20
71,SNT중공업,2004,6,20040814000350,910860,5468,612000,639904,dart2.dtd,20
72,SNT홀딩스,2004,6,20040811000016,905208,2859,317003,341062,dart2.dtd,20
73,SPC삼립,2004,6,20040813000015,906597,2458,263220,403338,dart2.dtd,20
74,STX,2004,6,20040813000811,908136,4015,436840,859456,dart2.dtd,19
75,STX엔진,2004,6,20040813001099,908702,3297,346809,500897,dart2.dtd,20
76,SUN&L,2004,3,20040519000246,867205,3524,366922,484267,dart2.dtd,22
77,TCC스틸,2004,6,20040812000156,906060,3834,402782,647901,dart2.dtd,20
78,TYM,2004,6,20040813000216,906970,3925,431393,501216,dart2.dtd,20
79,WISCOM,2004,6,20040812000153,906052,3580,391376,243175,dart2.dtd,20
80,YG PLUS,2004,6,20040813000384,907308,2149,222834,572861,dart2.dtd,20
81,가온전선,2004,6,20040812000327,906439,3243,368151,315760,dart2.dtd,20
82,강남제비스코,2004,6,20040813000845,908212,5367,568574,516875,dart2.dtd,20
83,강원랜드,2004,6,20040812000247,906242,3112,336274,301242,dart2.dtd,11
84,갤럭시아에스엠,2004,6,20040812000119,905997,4631,483300,436638,dart2.dtd,20
85,경농,2004,6,20040813000334,907209,3439,356142,405211,dart2.dtd,20
86,경동나비엔,2004,6,20040813001569,909646,4153,465544,799581,dart2.dtd,20
87,경동인베스트,2004,6,20040813000279,907098,3425,412842,355540,dart2.dtd,19
88,경방,2004,6,20040812000095,905950,4735,488028,381692,dart2.dtd,20
89,경인양행,2004,6,20040813000825,908169,4473,496211,316203,dart2.dtd,20
90,경인전자,2004,6,20040813000043,906650,4151,446838,687919,dart2.dtd,20
91,계룡건설산업,2004,6,20040813000297,907137,5030,550263,769606,dart2.dtd,20
92,계양전기,2004,6,20040813000180,906908,4172,438765,425600,dart2.dtd,20
93,고려산업,2004,6,20040812000169,906088,3924,416577,446309,dart2.dtd,20
94,고려아연,2004,6,20040813001202,908901,4216,459782,508408,dart2.dtd,20
95,고려제강,2004,6,20040811000140,905492,3717,401989,490173,dart2.dtd,20
96,광동제약,2004,6,20040813001176,908846,3689,417565,164868,dart2.dtd,20
97,광명전기,2004,5,20040715000032,895002,3361,345106,343840,dart2.dtd,20
98,광전자,2004,6,20040813000250,907034,5438,590061,426062,dart2.dtd,20
99,광주신세계,2004,6,20040813000908,908332,2827,290021,372747,dart2.dtd,19
100,교보증권,2004,9,20041112000793,945472,5940,611245,611658,dart2.dtd,16
101,국도화학,2004,6,20040813000073,906704,3358,344642,410521,dart2.dtd,20
102,국동,2004,6,20040813001703,909906,3267,333340,475317,dart2.dtd,19
103,국보,2004,6,20040813000128,906809,2407,245980,238586,dart2.dtd,11
104,국제약품,2004,9,20041112000816,945536,4673,497983,366742,dart2.dtd,20
105,극동유화,2004,6,20040813000255,907051,4512,492630,391118,dart2.dtd,20
106,금강공업,2004,6,20040813000036,906639,2556,284856,251354,dart2.dtd,20
107,금비,2004,3,20040617000037,880608,3664,382822,646291,dart2.dtd,22
108,금양,2004,6,20040813001517,909539,2496,279683,507721,dart2.dtd,20
109,금호건설,2004,6,20040813000273,907086,6559,727183,635077,dart2.dtd,11
110,금호석유화학,2004,6,20040902000037,917783,3384,378235,583526,dart2.dtd,22
111,금호전기,2004,6,20040814000238,910648,3333,345763,423761,dart2.dtd,20
112,기아,2004,6,20040813001846,910174,8308,913240,982102,dart2.dtd,20
113,기업은행,2004,6,20040813001777,910034,5476,581793,675806,dart2.dtd,16
114,까뮤이앤씨,2004,6,20040813001535,909578,4702,495409,631922,dart2.dtd,20
115,깨끗한나라,2004,6,20040813001371,909239,3563,397699,766768,dart2.dtd,20
116,남광토건,2004,6,20040813000374,907284,3087,336938,390981,dart2.dtd,20
117,남선알미늄,2004,6,20040813000327,907191,3483,363497,288519,dart2.dtd,20
118,남성,2004,6,20040813001391,909276,2814,331725,839166,dart2.dtd,19
119,남양유업,2004,6,20040813001544,909603,3644,389563,187069,dart2.dtd,20
120,남해화학,2004,6,20040813001256,909006,4511,489109,750099,dart2.dtd,20
121,넥센,2004,6,20040813000027,906620,3510,367701,250962,dart2.dtd,20
122,넥센타이어,2004,6,20040813001038,908580,1936,194039,301268,dart2.dtd,20
123,노루홀딩스,2004,6,20040814000165,910501,5283,581272,902120,dart2.dtd,20
124,노루홀딩스,2003,6,20040308000494,765525,4864,528549,851868,dart2.dtd,20
125,녹십자,2004,6,20040813000683,907897,3034,319216,475355,dart2.dtd,20
126,녹십자홀딩스,2004,6,20040813000779,908080,4196,447072,601210,dart2.dtd,20
127,농심,2004,6,20040811000029,905237,4708,509799,846867,dart2.dtd,20
128,농심홀딩스,2004,6,20040813000134,906820,1804,188407,366918,dart2.dtd,11
129,다스코,2004,6,20040813001721,909935,4606,504212,277137,dart2.dtd,20
130,다올투자증권,2004,6,20040813001029,908565,2731,292268,1255202,dart2.dtd,16
131,다우기술,2004,6,20040813000698,907926,2829,308288,840285,dart2.dtd,20
132,대교,2004,6,20040813001342,909170,4698,513367,313114,dart2.dtd,20
133,대구백화점,2004,9,20041112000469,945008,4407,475375,651305,dart2.dtd,19
134,대덕,2004,6,20040813001035,908575,2594,284799,385652,dart2.dtd,20
135,대동,2004,6,20040813000519,907578,4732,507535,410367,dart2.dtd,20
136,대동전자,2004,9,20041112000840,945586,3239,343648,464674,dart2.dtd,20
137,대림비앤코,2004,6,20040813000919,908359,2861,295615,605480,dart2.dtd,20
138,대림통상,2004,6,20040813000254,907050,4449,502132,609186,dart2.dtd,20
139,대상,2004,6,20040813000078,906712,4561,504088,851207,dart2.dtd,20
140,대성홀딩스,2004,6,20040814000175,910524,3605,395003,643175,dart2.dtd,19
141,대신증권,2004,9,20041112000631,945228,3836,410928,757135,dart2.dtd,16
142,대양금속,2004,9,20041112000921,945710,3725,389905,311335,dart2.dtd,20
143,대영포장,2004,6,20040813000042,906649,4998,543308,360509,dart2.dtd,20
144,대우건설,2004,6,20040813001522,909550,8026,871041,915052,dart2.dtd,20
145,대우부품,2004,6,20040813000913,908342,4374,467696,449269,dart2.dtd,20
146,대우조선해양,2004,6,20040813001751,909987,3560,379462,627285,dart2.dtd,20
