,cor_name,rpt_year,rpt_month,rcpNo,dcmNo,eleId,offset,length,dtd,tocNo
0,AK홀딩스,2006,6,20060814000633,1428286,4125,429297,407173,dart2.dtd,20
1,BYC,2006,6,20060814000657,1428334,2650,272888,492004,dart2.dtd,20
2,CJ,2006,6,20060814001373,1429780,6098,655497,927119,dart2.dtd,20
3,CJ CGV,2006,6,20060906000122,1439204,2620,270236,493247,dart2.dtd,13
4,CJ대한통운,2006,6,20060811000464,1426111,4659,523481,625700,dart2.dtd,11
5,CJ씨푸드,2006,6,20060811000878,1427010,4217,442797,495091,dart2.dtd,11
6,CS홀딩스,2006,6,20060816000104,1430794,2544,262796,388054,dart2.dtd,22
7,DB,2006,6,20060814001045,1429122,3465,375024,794253,dart2.dtd,20
8,DB금융투자,2006,9,20061114000809,1469706,2690,278565,1064023,dart2.dtd,16
9,DB손해보험,2006,9,20061114001334,1470396,2726,284268,868796,dart2.dtd,16
10,DB하이텍,2006,6,20060814001030,1429091,4330,469317,700816,dart2.dtd,20
11,DL,2006,6,20060811000633,1426441,6636,719569,941710,dart2.dtd,20
12,DL건설,2006,6,20060811000530,1426233,3397,362566,477519,dart2.dtd,20
13,DN오토모티브,2006,6,20060915000108,1443647,2862,297123,464383,dart2.dtd,22
14,DRB동일,2006,6,20060814000022,1427120,3691,383954,774539,dart2.dtd,20
15,DSR제강,2006,6,20060811000239,1425628,2112,207744,287686,dart2.dtd,20
16,E1,2006,6,20060814000699,1428421,3224,354285,269598,dart2.dtd,19
17,F&F 홀딩스,2006,6,20060811000058,1425287,2974,314669,516536,dart2.dtd,20
18,GS,2006,6,,,,,,,
19,GS건설,2006,6,20060814000401,1427818,8301,921907,647477,dart2.dtd,20
20,GS글로벌,2006,6,20060814000625,1428269,3241,344493,502678,dart2.dtd,19
21,GS리테일,2006,6,20060814000932,1428893,3808,413559,185725,dart2.dtd,19
22,HDC,2006,6,20060814001032,1429096,5573,605837,783105,dart2.dtd,20
23,HL D&I,2006,6,20060810000140,1424437,3632,394766,464328,dart2.dtd,20
24,HLB글로벌,2006,6,20060814000994,1429015,2135,222457,397525,dart2.dtd,20
25,HMM,2006,6,20060811000709,1426636,3264,340824,716568,dart2.dtd,20
26,HSD엔진,2006,6,20060811000581,1426344,2229,220093,420048,dart2.dtd,20
27,JW중외제약,2006,6,20060814000523,1428067,3386,369117,553287,dart2.dtd,20
28,KC그린홀딩스,2006,6,20060814000696,1428414,2856,297539,649727,dart2.dtd,20
29,KG스틸,2006,6,20060814001339,1429711,3312,336509,886833,dart2.dtd,20
30,KG케미칼,2006,6,20060814001666,1430378,4142,453515,480151,dart2.dtd,22
31,KH 필룩스,2006,6,20060915000008,1443431,2496,245354,300018,dart2.dtd,22
32,KISCO홀딩스,2006,6,20060814000016,1427109,3087,324380,575488,dart2.dtd,20
33,KPX케미칼,2006,6,20060814001515,1430079,2445,253725,523836,dart2.dtd,20
34,KR모터스,2006,6,20060814000792,1428596,2544,260825,480413,dart2.dtd,20
