,cor_name,rpt_year,rpt_month,rcpNo,dcmNo,eleId,offset,length,dtd,tocNo
0,AK홀딩스,2005,6,20050812000694,1154201,3935,409032,409379,dart2.dtd,20
1,BYC,2005,6,20050812000542,1153867,2524,262075,567394,dart2.dtd,20
2,CJ,2005,6,20050812000861,1154531,5744,616275,915600,dart2.dtd,20
3,CJ CGV,2005,6,20050902000197,1166134,3361,349259,451480,dart2.dtd,13
4,CJ대한통운,2005,6,20050812000539,1153857,4921,547659,652100,dart2.dtd,11
5,CJ씨푸드,2005,6,20050811000366,1152707,4273,449887,583124,dart2.dtd,11
6,CS홀딩스,2005,6,20050816000782,1157026,2227,232656,405666,dart2.dtd,20
7,DB,2005,6,20050812001026,1154894,3611,393989,568645,dart2.dtd,20
8,DB금융투자,2005,9,20051114000903,1201752,2718,290860,1003275,dart2.dtd,16
9,DB손해보험,2005,9,20051114000890,1201733,2801,299609,866851,dart2.dtd,16
10,DB하이텍,2005,6,20050812001010,1154861,4451,485864,732782,dart2.dtd,20
11,DL,2005,6,20050816000694,1156848,8167,898554,985732,dart2.dtd,20
12,DL건설,2005,6,20050909000081,1169135,4596,480221,501382,dart2.dtd,22
13,DN오토모티브,2005,6,20050816000918,1157309,2630,273337,220922,dart2.dtd,20
14,DRB동일,2005,6,20050816000849,1157166,3819,398943,1048943,dart2.dtd,20
15,DSR제강,2005,6,20050812000237,1153245,1873,182550,271045,dart2.dtd,20
16,E1,2005,6,20050812000806,1154438,2932,306654,392922,dart2.dtd,19
17,F&F 홀딩스,2005,6,20050812000640,1154070,2682,288188,555824,dart2.dtd,20
18,GS,2005,6,20050816000265,1155998,2635,286376,247969,dart2.dtd,11
19,GS건설,2005,6,20050816000503,1156470,8034,891392,558709,dart2.dtd,20
20,GS글로벌,2005,6,20050818000120,1158956,3966,441616,618688,dart2.dtd,21
21,GS리테일,2005,6,20050816000821,1157100,3566,388738,188519,dart2.dtd,19
22,HDC,2005,6,20050816000774,1157016,5509,598929,842092,dart2.dtd,20
23,HL D&I,2005,6,20050831000038,1164525,3543,384801,521046,dart2.dtd,22
24,HLB글로벌,2005,6,20050812000115,1153001,2485,256585,483311,dart2.dtd,20
25,HL홀딩스,2005,6,20050816001096,1157661,3560,384622,976711,dart2.dtd,20
26,HMM,2005,6,20050812001035,1154909,2961,311021,698309,dart2.dtd,20
27,HSD엔진,2005,6,20050816000599,1156660,2253,226247,416386,dart2.dtd,20
28,JW중외제약,2005,6,20050816000819,1157097,3219,357058,626939,dart2.dtd,20
29,KC그린홀딩스,2005,6,20050812000213,1153197,2642,272551,550357,dart2.dtd,20
30,KG스틸,2005,6,20050816000534,1156540,3140,322805,773780,dart2.dtd,20
31,KG케미칼,2005,6,20050816000652,1156766,3894,429263,490351,dart2.dtd,20
