,cor_name,rpt_year,rpt_month,rcpNo,dcmNo,eleId,offset,length,dtd,tocNo
0,AJ네트웍스,2008,6,20080814002049,2005157,2785,286292,18793,dart2.dtd,20
1,AK홀딩스,2008,6,20080814001393,2003477,4209,439428,17194,dart2.dtd,21
2,BYC,2008,6,20080814001042,2002654,2475,255689,18649,dart2.dtd,21
3,CJ,2008,6,20080814001644,2004146,3426,376714,18333,dart2.dtd,12
4,CJ CGV,2008,6,20080813000293,1998980,1731,175232,17895,dart2.dtd,12
5,CJ대한통운,2008,6,20080814001472,2003697,4037,442224,18086,dart2.dtd,12
6,CJ씨푸드,2008,6,20080813000017,1998203,3548,373545,17885,dart2.dtd,12
7,CJ제일제당,2008,6,20080814001151,2002872,6467,700521,10171,dart2.dtd,21
8,CS홀딩스,2008,6,20080814000325,2000838,2300,227448,17967,dart2.dtd,21
9,DB,2008,6,20080814000701,2001813,3677,390214,17906,dart2.dtd,21
10,DB금융투자,2008,9,20081114001964,2056988,3373,368133,17793,dart2.dtd,17
11,DB손해보험,2008,9,20081114001372,2056076,2829,306575,19973,dart2.dtd,17
12,DL,2008,6,20080814000595,2001533,6698,728955,18635,dart2.dtd,21
13,DL건설,2008,6,20080814000327,2000848,3442,370315,20802,dart2.dtd,21
14,DN오토모티브,2008,6,20080814002043,2005140,2899,300548,18006,dart2.dtd,23
15,DRB동일,2008,6,20080814001446,2003621,2848,293159,17877,dart2.dtd,21
16,DSR제강,2008,6,20080813000186,1998659,2242,220334,17898,dart2.dtd,21
17,E1,2008,6,20080814001411,2003528,4125,455316,22144,dart2.dtd,20
18,F&F 홀딩스,2008,6,20080814001043,2002659,2832,299110,20622,dart2.dtd,21
19,GS,2008,6,20080813000296,1998986,2916,316146,17310,dart2.dtd,12
20,GS건설,2008,6,20080814001314,2003253,7938,872846,18841,dart2.dtd,21
21,GS글로벌,2008,6,20080813000522,1999684,3237,326494,18404,dart2.dtd,20
22,GS리테일,2008,6,20080814000077,2000198,3802,410542,18778,dart2.dtd,20
23,HDC,2008,6,20080814001357,2003371,5949,653771,19185,dart2.dtd,21
24,HDC현대EP,2008,6,20080814000868,2002228,3377,341993,18658,dart2.dtd,21
25,HJ중공업,2008,6,20080814000384,2001017,2991,325347,10069,dart2.dtd,21
26,HL D&I,2008,6,20080814001726,2004354,4843,509411,20058,dart2.dtd,21
27,HLB글로벌,2008,6,20080814000680,2001760,2179,225762,20745,dart2.dtd,21
28,HMM,2008,6,20080814000903,2002303,3115,325723,21996,dart2.dtd,21
29,HSD엔진,2008,6,20080814000924,2002364,2556,265183,17932,dart2.dtd,21
30,JW중외제약,2008,6,20080814001837,2004627,3256,356693,17933,dart2.dtd,21
31,JW홀딩스,2008,6,20080814002015,2005070,2601,267153,9964,dart2.dtd,20
32,KC그린홀딩스,2008,6,20080814000119,2000296,2933,307034,17832,dart2.dtd,21
33,KEC,2008,6,20080814000807,2002070,2396,249895,12789,dart2.dtd,21
