,cor_name,rpt_year,rpt_month,rcpNo,dcmNo,eleId,offset,length,dtd,tocNo
0,AK홀딩스,2000,6,20000811000171,87713,5001,547919,142544,dart2.dtd,18
1,BYC,2000,6,20000814000141,89207,2626,272906,739032,dart2.dtd,18
2,CJ대한통운,2000,6,20000812000159,88559,4067,534888,220698,dart2.dtd,10
3,CJ씨푸드,2000,6,20000814000150,89224,3787,412721,113108,dart2.dtd,10
4,CS홀딩스,2000,6,20000814000335,89615,2203,247650,115312,dart2.dtd,18
5,DB,2000,6,20000814000756,90228,3218,359903,500801,dart2.dtd,18
6,DB금융투자,2000,9,20001114000932,112544,2516,275550,939136,dart2.dtd,15
7,DB손해보험,2000,9,20001120000073,114782,2772,284680,453101,dart2.dtd,16
8,DB하이텍,2000,6,20000814000770,90252,4134,456148,908818,dart2.dtd,18
9,DL,2000,6,20000814000589,90015,6517,730824,860594,dart2.dtd,18
10,DL건설,2000,6,20000814000543,89946,4408,476849,548757,dart2.dtd,18
11,DN오토모티브,2000,6,20000812000300,88793,2024,213169,66147,dart2.dtd,18
12,DRB동일,2000,6,20000814000833,90347,3474,386299,571749,dart2.dtd,18
13,E1,2000,6,20000811000192,87766,2772,288826,243131,dart2.dtd,17
14,F&F 홀딩스,1999,12,20000212000003,30047,3207,349413,370377,dart2.dtd,18
15,GS건설,2000,6,20000814000563,89975,3207,415431,224675,dart2.dtd,18
16,GS글로벌,2000,6,20000814000766,90248,4463,545039,570957,dart2.dtd,17
17,GS리테일,2000,6,20000814000573,89986,2860,302033,128024,dart2.dtd,17
18,GS리테일,2000,6,20000814000571,89979,2860,302033,128024,dart2.dtd,17
19,HDC,2000,6,20000814000274,89512,2499,309036,132145,dart2.dtd,18
20,HL D&I,2000,6,20000814000098,89123,2621,297239,115459,dart2.dtd,18
21,HLB글로벌,2000,6,20000811000349,88092,2368,277825,201753,dart2.dtd,18
22,HMM,2000,6,20000814000899,90439,3299,355605,475752,dart2.dtd,18
23,JW중외제약,2000,6,20000814000727,90185,3026,328317,368074,dart2.dtd,18
24,KC그린홀딩스,2000,6,20000812000138,88520,2141,279829,109373,dart2.dtd,18
25,KG스틸,2000,6,20000812000084,88437,3734,393824,657643,dart2.dtd,18
26,KG케미칼,2000,6,20000811000226,87842,3440,405001,152866,dart2.dtd,18
27,KH 필룩스,2000,6,20000808000151,86437,2756,286420,386683,dart2.dtd,18
28,KISCO홀딩스,2000,6,20000812000116,88492,3627,391747,282202,dart2.dtd,18
29,KPX케미칼,2000,6,20000814000678,90132,1917,218230,471171,dart2.dtd,18
30,KR모터스,2000,6,20000812000281,88771,2133,219600,243373,dart2.dtd,18
31,LG,2000,6,20000812000026,88332,4870,534725,699453,dart2.dtd,18
32,LG디스플레이,2000,6,20000812000298,88794,2101,228628,107656,dart2.dtd,18
33,LG유플러스,2000,6,20000919000017,98821,2108,250475,153411,dart2.dtd,19
34,LS,2000,6,20000812000335,88862,3918,426696,296977,dart2.dtd,18
35,LS네트웍스,2000,6,20000814000745,90197,2003,246292,172116,dart2.dtd,17
36,LX인터내셔널,2000,6,20000812000289,88781,2108,303211,276447,dart2.dtd,17
37,MH에탄올,2000,6,20000812000006,88295,2319,263116,451674,dart2.dtd,18
38,NH투자증권,2000,9,20001114000423,112952,3712,412841,2945421,dart2.dtd,15
