,cor_name,rpt_year,rpt_month,rcpNo,dcmNo,eleId,offset,length,dtd,tocNo
0,AK홀딩스,2003,6,20030814001133,663592,6008,648269,397732,dart2.dtd,19
1,BYC,2003,6,20030814000286,661956,2565,265268,509587,dart2.dtd,19
2,CJ,2003,6,20030814000902,663142,9372,1021982,960623,dart2.dtd,19
3,CJ대한통운,2003,6,20030814000046,661499,5181,587273,526137,dart2.dtd,10
4,CJ씨푸드,2003,6,20030813000283,660517,4211,456150,371840,dart2.dtd,10
5,CS홀딩스,2003,6,20030814001050,663429,3231,355083,131439,dart2.dtd,19
6,DB,2003,6,20030814001462,664221,4686,520007,456903,dart2.dtd,19
7,DB금융투자,2003,9,20031114001195,703114,2742,296082,1365162,dart2.dtd,15
8,DB손해보험,2003,9,20031114000708,702480,2755,285360,590207,dart2.dtd,15
9,DB하이텍,2003,6,20030814001340,663992,5345,589530,866286,dart2.dtd,19
10,DL,2003,6,20030814000997,663312,7729,870240,1170400,dart2.dtd,19
11,DL건설,2003,6,20030813000643,661235,4148,450908,741285,dart2.dtd,19
12,DN오토모티브,2003,6,20030930000178,682160,2163,226815,76089,dart2.dtd,20
13,DRB동일,2003,6,20030924000001,679055,4523,479127,720531,dart2.dtd,20
14,DSR제강,2003,6,20030814001643,664587,2990,302680,270955,dart2.dtd,19
15,E1,2003,6,20030814001923,665149,3594,382768,364843,dart2.dtd,19
16,F&F 홀딩스,2003,6,20030926000059,680220,4032,432346,470494,dart2.dtd,20
17,GS건설,2003,6,20030812000082,659458,7572,837226,560006,dart2.dtd,19
18,GS글로벌,2003,6,20030813000537,661025,5336,622398,509456,dart2.dtd,18
19,GS리테일,2003,6,20030813000268,660481,4294,472250,174353,dart2.dtd,10
20,HDC,2003,6,20030814001174,663671,5729,631890,599914,dart2.dtd,19
21,HL D&I,2003,6,20030814000394,662144,2813,324857,214154,dart2.dtd,19
22,HLB글로벌,2003,6,20030813000155,660254,3511,389426,310861,dart2.dtd,19
23,HL홀딩스,2003,6,20030813000484,660923,4460,481381,900670,dart2.dtd,19
24,HMM,2003,6,20030814001905,665120,4541,484848,699632,dart2.dtd,19
25,JW중외제약,2003,6,20030814000626,662603,3745,405412,155407,dart2.dtd,19
26,KC그린홀딩스,2003,6,20030814000665,662677,2755,282445,274142,dart2.dtd,19
27,KG스틸,2003,6,20030814000874,663088,4642,496557,565129,dart2.dtd,19
28,KG케미칼,2003,6,20030814000816,662976,4436,511035,441914,dart2.dtd,19
29,KH 필룩스,2003,6,20030812000307,659930,3849,398491,326426,dart2.dtd,19
30,KISCO홀딩스,2003,6,20030813000249,660443,4057,440478,328795,dart2.dtd,19
31,KPX케미칼,2003,6,20030814000184,661772,1963,201115,351393,dart2.dtd,19
32,KR모터스,2003,6,20030814001708,664726,2399,271644,398336,dart2.dtd,10
33,KTcs,2003,6,20030814001413,664135,2820,310328,238732,dart2.dtd,19
34,KTis,2003,6,20030814001370,664051,2862,297435,149844,dart2.dtd,19
35,LG,2003,6,20030814000938,663201,4314,488015,330225,dart2.dtd,10
36,LG디스플레이,2003,6,20030814001802,664910,3187,352160,135375,dart2.dtd,19
37,LG생활건강,2003,6,20030926000264,680786,2973,312065,519617,dart2.dtd,20
38,LG유플러스,2003,6,20030813000647,661242,4099,444501,425065,dart2.dtd,19
39,LG화학,2003,6,20030818000176,665668,4711,526126,582813,dart2.dtd,20
40,LS,2003,6,20030814001651,664605,5416,598965,283107,dart2.dtd,19
41,LS네트웍스,2003,6,20030814001026,663369,2438,296059,134011,dart2.dtd,18
42,LX인터내셔널,2003,6,20030814001329,663976,4006,448685,573521,dart2.dtd,18
43,MH에탄올,2003,6,20030812000054,659403,2643,281017,389455,dart2.dtd,19
44,NAVER,2003,6,20030814000277,661937,2024,209170,296813,dart2.dtd,19
45,NH투자증권,2003,9,20031114000444,702149,4145,467242,1122224,dart2.dtd,15
46,NI스틸,2003,6,20030814000066,661538,5185,549571,279642,dart2.dtd,19
47,OCI,2003,6,20030814000173,661750,6062,650243,628519,dart2.dtd,19
48,POSCO홀딩스,2003,6,20030814001216,663764,4417,487566,489991,dart2.dtd,19
49,S-Oil,2003,6,20030819000127,666059,6498,671349,412619,dart2.dtd,20
50,SBS,2003,6,,,,,,,
51,SGC에너지,2003,6,20030813000585,661091,4583,477228,392995,dart2.dtd,19
52,SG글로벌,2003,6,20030814000908,663151,2733,312005,576223,dart2.dtd,19
53,SG세계물산,2003,6,20030814001555,664409,2049,237375,824489,dart2.dtd,19
54,SHD,2003,6,20030813000201,660354,4303,439697,306517,dart2.dtd,19
55,SH에너지화학,2002,12,20030218000157,512564,4274,449618,406064,dart2.dtd,20
56,SIMPAC,2003,6,20030812000138,659571,3659,383516,335404,dart2.dtd,19
57,SK,2003,6,20031107000155,698015,3617,382182,134507,dart2.dtd,19
58,SKC,2003,6,20030814001656,664617,6776,732619,801491,dart2.dtd,19
59,SK가스,2003,6,20030814001956,665209,3155,333320,447409,dart2.dtd,19
60,SK네트웍스,2003,6,20030814001327,663971,7560,810849,633695,dart2.dtd,18
61,SK디스커버리,2003,6,20030814001810,664921,5410,594759,1022233,dart2.dtd,19
62,SK증권,2003,9,20031114001462,703485,6201,641137,912214,dart2.dtd,15
63,SK텔레콤,2003,6,20030814000854,663049,4494,512191,1284947,dart2.dtd,10
64,SK하이닉스,2003,6,20030813000044,660050,7551,812465,854462,dart2.dtd,19
65,SNT모티브,2003,6,20030814001613,664545,4842,511998,205464,dart2.dtd,19
66,SNT중공업,2003,6,20030814000096,661598,5196,586405,303274,dart2.dtd,19
67,SNT홀딩스,2003,6,20030812000282,659870,2744,307343,226540,dart2.dtd,19
68,SPC삼립,2003,6,20030813000646,661241,2363,251842,302729,dart2.dtd,19
69,STX,2003,6,20030814000079,661563,3789,403165,913098,dart2.dtd,19
70,SUN&L,2003,3,20030515001212,618770,3358,348505,266477,dart2.dtd,19
71,TCC스틸,2003,6,20030814000180,661765,3814,401708,580559,dart2.dtd,19
72,TYM,2003,6,20030813000400,660743,3741,413293,516691,dart2.dtd,19
73,WISCOM,2003,6,20030814001007,663331,3485,392704,211687,dart2.dtd,19
74,YG PLUS,2003,6,20030814000717,662784,3253,352298,284287,dart2.dtd,19
75,가온전선,2003,6,20030814000048,661504,3125,356910,264726,dart2.dtd,19
76,강남제비스코,2003,6,20030814000424,662212,3544,402441,523494,dart2.dtd,19
77,강원랜드,2003,6,20030814001404,664121,3174,333078,278055,dart2.dtd,10
78,갤럭시아에스엠,2003,6,20030814000045,661498,5386,574137,440499,dart2.dtd,19
79,경농,2003,6,20030814000972,663260,3463,362829,402375,dart2.dtd,19
80,경동나비엔,2003,6,20030813000287,660521,3755,427392,676736,dart2.dtd,19
81,경동인베스트,2003,6,20030814000522,662402,3301,400441,146868,dart2.dtd,18
82,경방,2003,6,20030813000007,659985,4650,481802,378925,dart2.dtd,19
83,경인양행,2003,6,20030813000320,660591,4337,481114,267466,dart2.dtd,19
84,경인전자,2003,6,20030814000720,662788,3986,435844,560490,dart2.dtd,19
85,계룡건설산업,2003,6,20030813000682,661313,5059,555255,511881,dart2.dtd,19
86,계양전기,2003,6,20030814000002,661408,4174,441486,298600,dart2.dtd,19
87,고려산업,2003,6,20030814001353,664019,3831,406254,404866,dart2.dtd,20
88,고려아연,2003,6,20030818000182,665674,3993,431497,438121,dart2.dtd,20
89,고려제강,2003,6,20030814000256,661896,3582,387874,433821,dart2.dtd,19
90,광동제약,2003,6,20030814001017,663350,3631,411585,138652,dart2.dtd,19
91,광명전기,2003,5,20030917000070,676458,3257,333237,296331,dart2.dtd,20
92,광전자,2003,6,20030814000469,662307,4960,539699,353428,dart2.dtd,19
93,광주신세계,2003,6,20030814000596,662544,2945,306487,296580,dart2.dtd,18
94,교보증권,2003,9,20031114000684,702449,5773,596584,588865,dart2.dtd,15
95,국도화학,2003,6,20030813000328,660608,3305,338523,373415,dart2.dtd,19
96,국동,2003,6,20030814001728,664767,3564,371638,430081,dart2.dtd,18
97,국보,2003,6,20030814000283,661949,2327,237970,219063,dart2.dtd,10
98,국제약품,2003,9,20031113000123,700808,4541,483468,340661,dart2.dtd,19
99,극동유화,2003,6,20030814000918,663167,4414,483281,330339,dart2.dtd,19
