,cor_name,rpt_year,rpt_month,rcpNo,dcmNo,eleId,offset,length,dtd,tocNo
2266,평화산업,2006,12,20070330001886,1573409,2999,318831,319256,dart2.dtd,20
2267,평화홀딩스,2006,12,20070330001547,1571406,2839,303908,356164,dart2.dtd,11
2268,포스코스틸리온,2006,12,20070330001801,1572891,2382,251716,215744,dart2.dtd,20
2269,포스코인터내셔널,2006,12,20070330001162,1569233,4584,478325,558903,dart2.dtd,19
2270,포스코케미칼,2006,12,20070330001707,1572371,2416,246238,321297,dart2.dtd,20
2271,풀무원,2006,12,20070330002416,1576091,3016,305227,423860,dart2.dtd,20
2272,풍산홀딩스,2006,12,20070328000005,1556230,4829,518516,587273,dart2.dtd,20
2273,플레이그램,2006,12,20070330001544,1571425,3585,372283,599828,dart2.dtd,19
2274,하나금융지주,2006,12,20070330001680,1572204,1959,208004,362880,dart2.dtd,11
2275,하나투어,2006,12,20070329000194,1559217,2529,259584,515674,dart2.dtd,11
2276,하이스틸,2006,12,20070330000124,1563710,2689,271484,188752,dart2.dtd,20
2277,하이트론씨스템즈,2006,12,20070330001017,1568415,4475,456423,284026,dart2.dtd,20
2278,하이트진로,2006,12,20070330000264,1564425,5030,532490,471273,dart2.dtd,20
2279,하이트진로홀딩스,2006,12,20070330001263,1569813,3820,413480,532269,dart2.dtd,20
2280,한국가스공사,2006,12,20070329000635,1560647,5526,623537,442997,dart2.dtd,20
2281,한국공항,2006,12,20070330001727,1572495,2922,323503,470674,dart2.dtd,20
2282,한국금융지주,2007,3,20070628000315,1669128,1959,207036,1328292,dart2.dtd,16
2283,한국내화,2006,12,20070329000613,1560545,2671,272121,283394,dart2.dtd,20
2284,한국단자공업,2006,12,,,,,,,
2285,한국석유공업,2006,12,20070330001082,1568807,3573,372880,237836,dart2.dtd,20
2286,한국수출포장공업,2006,12,20070330001073,1568776,2363,238631,283236,dart2.dtd,20
2287,한국쉘석유,2006,12,20070330001138,1569128,3193,324918,269201,dart2.dtd,20
2288,한국앤컴퍼니,2006,12,20070330000044,1563264,3406,377313,340170,dart2.dtd,20
2289,한국전력공사,2006,12,20070330000487,1565637,3048,318304,319056,dart2.dtd,20
2290,한국전자홀딩스,2006,12,20070330001561,1571472,2484,274048,355876,dart2.dtd,22
2291,한국조선해양,2006,12,20070330000998,1568351,3449,383203,257779,dart2.dtd,20
2292,한국주강,2006,12,20070329000367,1559756,2786,290880,290340,dart2.dtd,20
2293,한국주철관공업,2007,3,20070629000148,1669811,2208,232848,230641,dart2.dtd,20
2294,한국카본,2006,12,20070330000100,1563578,4247,437709,279445,dart2.dtd,20
2295,한국콜마홀딩스,2007,3,20070629000140,1669769,3071,325031,748772,dart2.dtd,20
2296,한국토지신탁,2006,12,20070330001080,1568803,2377,248855,273154,dart2.dtd,11
2297,한국특강,2006,12,20070330000658,1566497,2855,292924,312774,dart2.dtd,20
2298,한국프랜지공업,2006,12,20070330001952,1573806,3312,340637,554719,dart2.dtd,20
2299,한국항공우주,2006,12,20070330001108,1568943,2247,230141,283335,dart2.dtd,20
2300,한국화장품제조,2006,12,20070329000712,1560951,2551,264367,406437,dart2.dtd,20
