,cor_name,rpt_year,rpt_month,rcpNo,dcmNo,eleId,offset,length,dtd,tocNo
0,AK홀딩스,2002,6,20020813000183,429817,5973,650694,373732,dart2.dtd,19
1,BYC,2002,6,20020813000673,430779,2762,285477,560910,dart2.dtd,19
2,CJ,2002,6,20020814000839,432571,8321,894092,849154,dart2.dtd,19
3,CJ대한통운,2002,6,20020813000234,429911,4702,573915,541756,dart2.dtd,10
4,CJ씨푸드,2002,6,20020813000016,429484,4294,461885,91522,dart2.dtd,10
5,CS홀딩스,2002,6,20020814001296,433545,2948,328152,113965,dart2.dtd,19
6,DB,2002,6,20020814000753,432766,4769,526885,418961,dart2.dtd,19
7,DB금융투자,2002,9,20021114000577,469827,2641,302100,1631066,dart2.dtd,15
8,DB손해보험,2002,9,20021114000698,469980,2761,284936,522152,dart2.dtd,15
9,DB하이텍,2002,6,20020814000689,432318,5468,601033,850807,dart2.dtd,19
10,DL,2002,6,20020814000939,432801,8161,928378,1134536,dart2.dtd,19
11,DL건설,2002,6,20020813000412,430256,4038,436271,555088,dart2.dtd,19
12,DN오토모티브,2002,6,20020814000601,432095,2065,217378,58276,dart2.dtd,19
13,DRB동일,2002,6,20020814001394,433711,4364,489694,440699,dart2.dtd,19
14,E1,2002,6,20020813000303,430035,3489,373518,187585,dart2.dtd,18
15,F&F 홀딩스,2002,6,20020803000047,426123,4234,457019,412054,dart2.dtd,19
16,GS건설,2002,6,20020813000338,430115,7093,781244,509990,dart2.dtd,19
17,GS글로벌,2002,6,20020814000333,431610,4820,587687,473292,dart2.dtd,18
18,GS리테일,2002,6,20020814000701,432305,4223,454603,175980,dart2.dtd,18
19,HDC,2002,6,20020814000820,432551,6204,684858,442787,dart2.dtd,19
20,HL D&I,2002,6,20020814000266,431471,2791,323931,188073,dart2.dtd,19
21,HLB글로벌,2002,6,20020814000669,432263,3163,360415,248698,dart2.dtd,19
22,HL홀딩스,2002,6,20020814000651,432214,4353,467567,543059,dart2.dtd,19
23,HMM,2002,6,20020814001167,433263,3985,424812,586564,dart2.dtd,19
24,JW중외제약,2002,6,20020814000594,432116,3653,396147,464313,dart2.dtd,19
25,KC그린홀딩스,2002,6,20020814000906,432727,2394,246714,67270,dart2.dtd,19
26,KG스틸,2002,6,20020814000602,432138,4661,499681,637210,dart2.dtd,19
27,KG케미칼,2002,6,20020814000688,432290,4446,510734,389474,dart2.dtd,19
28,KH 필룩스,2002,6,20020812000096,429006,3790,396407,413277,dart2.dtd,19
29,KISCO홀딩스,2002,6,20020813000442,430297,4135,448815,273281,dart2.dtd,19
30,KPX케미칼,2002,6,20020814000151,431259,1902,197415,463640,dart2.dtd,19
31,KR모터스,2002,6,20020814001062,433031,2380,250420,244849,dart2.dtd,19
32,KTcs,2002,6,20020812000048,428943,2435,275818,127672,dart2.dtd,19
33,KTis,2002,6,20020813000100,429625,2864,291659,110856,dart2.dtd,19
34,LG,2002,6,20020814000949,432827,5354,580717,593412,dart2.dtd,19
35,LG디스플레이,2002,6,20020814000581,432098,2936,321095,111889,dart2.dtd,19
36,LG생활건강,2002,6,20020814000076,431114,3001,325562,533410,dart2.dtd,19
37,LG유플러스,2002,6,20020813000133,429712,3933,426295,54650,dart2.dtd,19
38,LG전자,2002,6,20020814001102,433124,10141,1108267,275928,dart2.dtd,19
39,LG화학,2002,6,20020814001411,433765,4600,507602,709025,dart2.dtd,20
40,LS,2002,6,20020814001270,433498,5265,576774,616685,dart2.dtd,19
41,LS네트웍스,2002,6,20020813000218,429883,2390,294181,122886,dart2.dtd,18
42,LX인터내셔널,2002,6,20020828000028,438116,3835,430755,215393,dart2.dtd,19
43,MH에탄올,2002,6,20020809000127,428015,2515,274606,371045,dart2.dtd,19
44,NH투자증권,2002,9,20021114000687,469970,4129,466816,1578909,dart2.dtd,15
45,NI스틸,2002,6,20020814000043,431015,5073,531551,269936,dart2.dtd,19
46,OCI,2002,6,20020813000740,430926,6016,633763,610623,dart2.dtd,19
47,POSCO홀딩스,2002,6,20020926000094,448252,4253,463337,420854,dart2.dtd,20
48,S-Oil,2002,6,20020814000781,432480,6297,647956,335870,dart2.dtd,19
49,SBS,2002,6,20020812000073,428990,2113,237323,331264,dart2.dtd,19
50,SGC에너지,2002,6,20020814000306,431556,4565,478966,333199,dart2.dtd,19
51,SG글로벌,2002,6,20020814000055,431078,2625,302529,631856,dart2.dtd,19
52,SG세계물산,2002,6,20020814000082,431126,2125,233175,738501,dart2.dtd,19
53,SHD,2002,6,20020814000498,431912,4250,434492,261060,dart2.dtd,19
54,SH에너지화학,2001,12,20020214000137,296700,4279,449228,314851,dart2.dtd,19
55,SIMPAC,2002,6,20020813000085,429617,3605,377824,327362,dart2.dtd,19
56,SK,2002,6,20020814000787,432488,3592,381963,112850,dart2.dtd,18
57,SKC,2002,6,20020814000900,432718,7246,787007,770468,dart2.dtd,19
58,SK가스,2002,6,20020814000349,431642,2809,299865,432772,dart2.dtd,18
59,SK네트웍스,2002,6,20020814000913,432759,7762,842611,671535,dart2.dtd,18
60,SK디스커버리,2002,6,20020814001132,433190,5281,583282,707613,dart2.dtd,19
61,SK증권,2002,9,20021114000898,470248,6034,621843,847386,dart2.dtd,15
62,SK텔레콤,2002,6,20020814001430,433798,4533,504333,1085443,dart2.dtd,11
63,SK하이닉스,2002,6,20020905000196,441283,6702,712735,933612,dart2.dtd,20
64,SNT모티브,2002,6,20020814000641,432220,3481,366274,74015,dart2.dtd,19
65,SNT중공업,2002,6,20020814000304,431545,5107,574483,267327,dart2.dtd,19
66,SNT홀딩스,2002,6,20020805000012,426137,2684,294589,192207,dart2.dtd,19
67,SPC삼립,2002,6,20020814001067,433044,2209,232394,345648,dart2.dtd,19
68,STX,2002,6,20020814000836,432591,3725,403256,450672,dart2.dtd,19
69,SUN&L,2002,3,20020515001077,396672,3404,353351,267538,dart2.dtd,20
70,TCC스틸,2002,6,20020814000582,432106,3652,385518,545652,dart2.dtd,19
71,TYM,2002,6,20020812000175,429177,4030,446522,500962,dart2.dtd,19
72,WISCOM,2002,6,20020809000147,428052,4208,466706,170589,dart2.dtd,19
73,가온전선,2002,6,20020812000087,429022,3112,355408,224651,dart2.dtd,19
74,강남제비스코,2002,6,20020813000706,430866,2297,262016,430418,dart2.dtd,19
75,강원랜드,2002,6,20020812000149,429122,3158,327887,236574,dart2.dtd,10
76,갤럭시아에스엠,2002,6,20020814000415,431764,5229,556592,381275,dart2.dtd,19
77,경농,2002,6,20020814000393,431741,3380,348181,328254,dart2.dtd,19
78,경동나비엔,2002,6,20020814000528,431996,3796,421415,403923,dart2.dtd,19
79,경동인베스트,2002,6,20020810000027,428642,3321,405064,131144,dart2.dtd,18
80,경방,2002,6,20020813000080,429608,4666,482667,312608,dart2.dtd,19
81,경인양행,2002,6,20020813000151,429762,4255,470483,240093,dart2.dtd,19
82,경인전자,2002,6,20020813000197,429812,3994,434590,268089,dart2.dtd,19
83,계룡건설산업,2002,6,20020813000629,430688,5076,557024,419399,dart2.dtd,19
84,계양전기,2002,6,20020814000278,431485,4087,432766,266123,dart2.dtd,19
85,고려산업,2002,6,20020808000007,427383,3789,400996,413961,dart2.dtd,19
86,고려아연,2002,6,20020814001030,432964,4163,451372,381341,dart2.dtd,19
87,고려제강,2002,6,20020814000101,431142,3583,388497,392115,dart2.dtd,19
88,광동제약,2002,6,20020814000432,431803,3602,407527,123081,dart2.dtd,19
89,광명전기,2002,5,20020719000163,421176,2624,265997,240783,dart2.dtd,20
90,광전자,2002,6,20020814000347,431624,4727,510820,203116,dart2.dtd,19
91,광주신세계,2002,6,20020819000054,434749,2874,299781,258032,dart2.dtd,19
