rcp_num,cor_name,rpt_name,rpt_year,rpt_month
20080814002049,AJ네트웍스,반기보고서,2008,06
20080814001393,AK홀딩스,반기보고서,2008,06
20080814001042,BYC,반기보고서,2008,06
20080814001644,CJ,반기보고서,2008,06
20080813000293,CJ CGV,반기보고서,2008,06
20080814001472,CJ대한통운,반기보고서,2008,06
20080813000017,CJ씨푸드,반기보고서,2008,06
20080814001151,CJ제일제당,반기보고서,2008,06
20080814000325,CS홀딩스,반기보고서,2008,06
20080814000701,DB,반기보고서,2008,06
20081114001964,DB금융투자,반기보고서,2008,09
20081114001372,DB손해보험,반기보고서,2008,09
20080814000595,DL,반기보고서,2008,06
20080814000327,DL건설,반기보고서,2008,06
20080814002043,DN오토모티브,반기보고서,2008,06
20080814001446,DRB동일,반기보고서,2008,06
20080813000186,DSR제강,반기보고서,2008,06
20080814001411,E1,반기보고서,2008,06
20080814001043,F&F 홀딩스,반기보고서,2008,06
20080813000296,GS,반기보고서,2008,06
20080814001314,GS건설,반기보고서,2008,06
20080813000522,GS글로벌,반기보고서,2008,06
20080814000077,GS리테일,반기보고서,2008,06
20080814001357,HDC,반기보고서,2008,06
20080814000868,HDC현대EP,반기보고서,2008,06
20080814000384,HJ중공업,반기보고서,2008,06
20080814001726,HL D&I,반기보고서,2008,06
20080814000680,HLB글로벌,반기보고서,2008,06
20080814000903,HMM,반기보고서,2008,06
20080814000924,HSD엔진,반기보고서,2008,06
20080814001837,JW중외제약,반기보고서,2008,06
20080814002015,JW홀딩스,반기보고서,2008,06
20080814000119,KC그린홀딩스,반기보고서,2008,06
20080814000807,KEC,반기보고서,2008,06
20080814000857,KG스틸,반기보고서,2008,06
20080814001445,KG케미칼,반기보고서,2008,06
20080813000201,KH 필룩스,반기보고서,2008,06
20080814001945,KISCO홀딩스,반기보고서,2008,06
20080814001449,KPX케미칼,반기보고서,2008,06
20080814000304,KPX홀딩스,반기보고서,2008,06
20080814000560,KR모터스,반기보고서,2008,06
20080814001135,KSS해운,반기보고서,2008,06
20080814001154,KTcs,반기보고서,2008,06
20080814000019,KTis,반기보고서,2008,06
20080812000123,LF,반기보고서,2008,06
20080814001247,LG,반기보고서,2008,06
20080814001734,LG디스플레이,반기보고서,2008,06
20080814000579,LG생활건강,반기보고서,2008,06
20080814000917,LG유플러스,반기보고서,2008,06
20080814002032,LG이노텍,반기보고서,2008,06
20080814001352,LG전자,반기보고서,2008,06
20080814001593,LG화학,반기보고서,2008,06
20081114000309,LS,반기보고서,2008,06
20080814001485,LS네트웍스,반기보고서,2008,06
20080814000274,LX인터내셔널,반기보고서,2008,06
20080811000169,MH에탄올,반기보고서,2008,06
20080813000345,NAVER,반기보고서,2008,06
20081114001305,NH투자증권,반기보고서,2008,09
20080814000020,NICE,반기보고서,2008,06
20080814000536,NI스틸,반기보고서,2008,06
20080814000133,OCI,반기보고서,2008,06
20080813000042,POSCO홀딩스,반기보고서,2008,06
20080814000817,S-Oil,반기보고서,2008,06
20080814000102,SBS,반기보고서,2008,06
20080813000119,SGC에너지,반기보고서,2008,06
20080814000559,SG글로벌,반기보고서,2008,06
20080814000282,SG세계물산,반기보고서,2008,06
20080814000702,SHD,반기보고서,2008,06
20080814000845,SH에너지화학,반기보고서,2008,06
20080814000045,SIMPAC,반기보고서,2008,06
20080818000019,SK,반기보고서,2008,06
20080814000571,SKC,반기보고서,2008,06
20080814001460,SK가스,반기보고서,2008,06
20080814001047,SK네트웍스,반기보고서,2008,06
20080814002065,SK디스커버리,반기보고서,2008,06
20080814000400,SK렌터카,반기보고서,2008,06
20080814001886,SK이노베이션,반기보고서,2008,06
20081114000964,SK증권,반기보고서,2008,09
20080814001548,SK텔레콤,반기보고서,2008,06
20080806000116,SK하이닉스,반기보고서,2008,06
20080814000464,SNT모티브,반기보고서,2008,06
20080814000281,SNT에너지,반기보고서,2008,06
20080814001010,SNT중공업,반기보고서,2008,06
20080825000095,SNT홀딩스,반기보고서,2008,06
20080813000533,SPC삼립,반기보고서,2008,06
20080806000218,STX,반기보고서,2008,06
20080814001567,STX엔진,반기보고서,2008,06
20080814001540,SUN&L,반기보고서,2008,06
20080814001056,TCC스틸,반기보고서,2008,06
20080814000027,TYM,반기보고서,2008,06
20080813000214,WISCOM,반기보고서,2008,06
20080812000322,YG PLUS,반기보고서,2008,06
20080814000115,가온전선,반기보고서,2008,06
20080814001243,강남제비스코,반기보고서,2008,06
20080813000558,강원랜드,반기보고서,2008,06
20080814001506,갤럭시아에스엠,반기보고서,2008,06
20080814000220,경농,반기보고서,2008,06
20080813000027,경동나비엔,반기보고서,2008,06
20080814000041,경동인베스트,반기보고서,2008,06
20080814000014,경방,반기보고서,2008,06
20080813000376,경인양행,반기보고서,2008,06
20080812000022,경인전자,반기보고서,2008,06
20080814000201,계룡건설산업,반기보고서,2008,06
20080814000875,계양전기,반기보고서,2008,06
20080814000239,고려산업,반기보고서,2008,06
20080814001478,고려아연,반기보고서,2008,06
20080808000253,고려제강,반기보고서,2008,06
20080814000794,광동제약,반기보고서,2008,06
20080814000832,광명전기,반기보고서,2008,06
20080814001209,광전자,반기보고서,2008,06
20080814000472,광주신세계,반기보고서,2008,06
20081114001544,교보증권,반기보고서,2008,09
20080813000204,국도화학,반기보고서,2008,06
20080814001793,국동,반기보고서,2008,06
20080814000838,국보,반기보고서,2008,06
20081114000069,국제약품,반기보고서,2008,09
20080814000896,그린케미칼,반기보고서,2008,06
20080814000157,극동유화,반기보고서,2008,06
20080814000570,금강공업,반기보고서,2008,06
20080515001981,금비,반기보고서,2008,03
20080814000837,금양,반기보고서,2008,06
20080814001712,금호건설,반기보고서,2008,06
20081113000177,금호석유화학,반기보고서,2008,06
20080814002078,금호전기,반기보고서,2008,06
20080814001227,금호타이어,반기보고서,2008,06
20081113000363,기신정기,반기보고서,2008,09
20080814001995,기아,반기보고서,2008,06
20080814001374,기업은행,반기보고서,2008,06
20080814000576,까뮤이앤씨,반기보고서,2008,06
20080814002013,깨끗한나라,반기보고서,2008,06
20080814000107,남광토건,반기보고서,2008,06
20080814000821,남선알미늄,반기보고서,2008,06
20080814002173,남성,반기보고서,2008,06
20080814000248,남양유업,반기보고서,2008,06
20080812000146,남해화학,반기보고서,2008,06
20080814000009,넥센,반기보고서,2008,06
20080814001213,넥센타이어,반기보고서,2008,06
20080814000992,노루페인트,반기보고서,2008,06
20080814001737,노루홀딩스,반기보고서,2008,06
20080813000614,녹십자,반기보고서,2008,06
20080813000583,녹십자홀딩스,반기보고서,2008,06
20080814000584,농심,반기보고서,2008,06
20080814001041,농심홀딩스,반기보고서,2008,06
20080813000022,다스코,반기보고서,2008,06
20080814001749,다올투자증권,반기보고서,2008,06
20080814001964,다우기술,반기보고서,2008,06
20080814001354,대교,반기보고서,2008,06
20081114001713,대구백화점,반기보고서,2008,09
20080814001936,대덕,반기보고서,2008,06
20080813000308,대동,반기보고서,2008,06
20081117000030,대동전자,반기보고서,2008,09
20080814001283,대림비앤코,반기보고서,2008,06
20080814001007,대림통상,반기보고서,2008,06
20080814001587,대상,반기보고서,2008,06
20080814000761,대상홀딩스,반기보고서,2008,06
20080814000218,대성홀딩스,반기보고서,2008,06
20081114001473,대신증권,반기보고서,2008,09
20080814000391,대양금속,반기보고서,2008,06
20080814000545,대영포장,반기보고서,2008,06
20080814000215,대우건설,반기보고서,2008,06
20080814001102,대우부품,반기보고서,2008,06
20080814001398,대우조선해양,반기보고서,2008,06
20081114001387,대웅,반기보고서,2008,09
20081114001315,대웅제약,반기보고서,2008,09
20080814000806,대원강업,반기보고서,2008,06
20080813000248,대원전선,반기보고서,2008,06
20080814000689,대원제약,반기보고서,2008,06
20080814002124,대원화성,반기보고서,2008,06
20080813000273,대유에이텍,반기보고서,2008,06
20080814002147,대유플러스,반기보고서,2008,06
20080806000131,대창,반기보고서,2008,06
20080814000490,대창단조,반기보고서,2008,06
20080814000974,대한방직,반기보고서,2008,06
20080813000329,대한유화,반기보고서,2008,06
20080814001312,대한전선,반기보고서,2008,06
20080814001774,대한제강,반기보고서,2008,06
20080812000125,대한제당,반기보고서,2008,06
20080813000367,대한제분,반기보고서,2008,06
20080814000007,대한항공,반기보고서,2008,06
20080812000115,대한해운,반기보고서,2008,06
20080814001148,대한화섬,반기보고서,2008,06
20080813000163,대현,반기보고서,2008,06
20080814000079,대호에이엘,반기보고서,2008,06
20080814000397,더존비즈온,반기보고서,2008,06
20080814000728,덕성,반기보고서,2008,06
20080814000696,덕양산업,반기보고서,2008,06
20080814000428,동국제강,반기보고서,2008,06
20080814000492,동남합성,반기보고서,2008,06
20080814001225,동방,반기보고서,2008,06
20080814000628,동방아그로,반기보고서,2008,06
20080814000075,동부건설,반기보고서,2008,06
20080811000044,동서,반기보고서,2008,06
20080814000873,동성제약,반기보고서,2008,06
20080814001289,동성케미컬,반기보고서,2008,06
20080813000278,동아쏘시오홀딩스,반기보고서,2008,06
20080814001763,동양,반기보고서,2008,06
